clientId,country,product_id
4291,SP,8456
54704,SP,24141
80625,RJ,28461
87934,SP,12205
78676,GO,12474
91273,PR,10059
94651,SP,18418
60946,SP,24384
39222,MG,17917
69267,RJ,17145
25854,RS,26488
51804,SP,11286
47320,MT,6585
79193,RJ,25572
39257,AL,13614
49590,SP,3765
51463,RJ,7199
79367,SP,7849
86648,CE,9275
30488,PR,14421
44947,RJ,31248
44947,RJ,31248
90805,SP,30474
29662,MG,13701
46905,SP,16947
64093,SP,10813
44567,RJ,26156
44567,RJ,26156
1202,SP,6862
56561,SP,22369
29918,SP,12063
64408,RJ,28347
8896,BA,17623
3888,RJ,11456
88647,SP,15572
40125,SP,13644
78744,GO,506
86705,RJ,31678
73913,PR,23090
73913,PR,23090
73913,PR,23090
53881,MG,21
85684,RJ,7655
90065,SP,31008
68287,RJ,31278
94708,PR,15671
71998,GO,27354
90952,SP,5522
82594,RJ,14341
79225,SP,23081
71591,SP,30648
7497,PR,19152
47897,PR,3187
8724,SP,4480
52135,SP,16951
89084,MA,23752
63012,RJ,8053
10715,PE,31270
42248,PR,9278
52277,SP,3968
18252,SP,10280
6831,MG,12508
3023,SP,8346
627,RS,8355
27118,SP,12247
15260,MG,15653
12041,RJ,8973
57126,AM,29935
35251,SP,12244
23129,SP,17878
41021,PR,6090
63272,SP,3216
85335,SP,6399
62481,SP,29647
2647,RJ,15085
3755,DF,3195
42938,SP,2702
42938,SP,2702
42938,SP,2702
54363,SP,140
46326,RJ,9811
16662,SP,4028
42982,RS,17059
9909,SP,18661
83706,SP,25950
64666,MG,14953
20333,RS,2208
50924,PR,8549
9498,MG,436
63150,SC,433
62869,SP,30953
91080,SP,22784
91080,SP,22784
774,PR,7953
774,PR,7953
64979,RS,30404
85954,MG,16267
58209,SP,22279
51290,SP,8590
63004,MG,21209
20500,RS,5381
19917,RJ,872
49616,RS,6214
67320,SP,6442
73068,RS,2824
67160,SP,11360
42390,SP,19884
93345,SP,20238
60515,AM,17921
91521,SP,23031
23166,PR,19181
77209,CE,8489
66912,BA,17537
64121,SP,1820
36476,RS,2078
33642,MG,5944
71876,SP,17474
38509,SP,3541
